UserID,BookID,Rating
45874270,2348372,4
45874270,1261560,5
45874270,3138847,5
45874270,1044177,5
45874270,3151575,5
45874270,1116367,5
45874270,1054889,5
45874270,1048173,5
45874270,3574119,5
45874270,1322025,5
45874270,1865089,5
2668761,2354909,4
2595309,1264793,5
2595309,1264792,4
2595309,1264120,3
2595309,1038663,5
2595309,2044295,4
4191271,1904516,5
1963048,1148767,5
muhe,2182413,5
rearee.r,3327495,5
1963041,2021169,4
1963041,1988066,4
S.T.ELLA,1007178,5
S.T.ELLA,2297706,4
S.T.ELLA,1794844,4
S.T.ELLA,2297697,4
S.T.ELLA,3140801,4
S.T.ELLA,2052049,5
4191277,1016053,3
4191277,2256039,5
4191277,3403514,4
4191277,2256438,4
4191277,3616310,5
Itwood,1256282,3
Itwood,1292443,4
Itwood,1014189,3
Itwood,1829799,3
Itwood,1159935,4
Itwood,2137632,5
Itwood,1949068,4
Itwood,1320205,4
Itwood,2035162,4
Itwood,1171170,3
Itwood,2261243,4
Itwood,1400705,4
Itwood,2165084,4
Itwood,1287449,4
Itwood,1047205,4
Itwood,2382924,4
Itwood,3017857,5
Itwood,1070175,5
Itwood,3010128,4
4304378,1982096,4
1095861,2118032,4
1095861,1336968,4
1095861,1316648,4
2222632,3664754,4
2222632,1937939,5
2222632,3198437,2
2222632,3316422,5
2222632,4152754,3
2222632,1056868,5
3841006,3009033,4
3841006,1213945,4
3841006,3124525,4
3841006,1980436,4
3841006,3218229,4
muhu,1924373,3
muhu,1086249,4
muyangren227,3924138,4
muyangren227,1060852,4
8590089,3706295,4
8590089,1317893,5
8590089,1805988,4
8590089,1072508,4
8590089,1987986,3
8590089,2083826,4
8590089,2264147,5
8590089,1844849,3
8590089,1181370,5
timcs,1786387,5
timcs,1005576,5
45724940,2999641,5
45724940,2085382,5
45724940,1082138,5
mugg,1734333,4
mugg,3391717,3
mugg,2044295,3
1095869,1964207,4
1095869,1780035,4
xiaoyu711,3834377,5
xiaoyu711,1579843,4
xiaoyu711,4884218,5
xiaoyu711,1088805,5
xiaoyu711,3075592,4
16518286,3424969,4
1755907,2294740,3
1755907,1004322,4
1755907,1014434,4
1755907,1011215,4
1755907,1889450,4
1755907,2033081,4
28921295,1853785,3
